,eventLink,eventName,eventDateString,eventLocation,eventListedFights,date,upcoming
539,http://ufcstats.com/event-details/429e7d3725852ce9,UFC 48: Payback,June 19 2004,"Las Vegas, Nevada, USA",8,2004-06-19,0
540,http://ufcstats.com/event-details/e8fb8e53bc2e29d6,UFC 47: It's On!,April 02 2004,"Las Vegas, Nevada, USA",8,2004-04-02,0
541,http://ufcstats.com/event-details/94609dd91731d428,UFC 46: Supernatural,January 31 2004,"Las Vegas, Nevada, USA",8,2004-01-31,0
542,http://ufcstats.com/event-details/e670f8cc2969a789,UFC 45: Revolution,November 21 2003,"Uncasville, Connecticut, USA",8,2003-11-21,0
543,http://ufcstats.com/event-details/c61f66d8c3fd5f07,UFC 44: Undisputed,September 26 2003,"Las Vegas, Nevada, USA",9,2003-09-26,0
544,http://ufcstats.com/event-details/108afe61a26bcbf4,UFC 43: Meltdown,June 06 2003,"Las Vegas, Nevada, USA",9,2003-06-06,0
545,http://ufcstats.com/event-details/ae58685caf8e4a0d,UFC 42: Sudden Impact,April 25 2003,"Miami, Florida, USA",8,2003-04-25,0
546,http://ufcstats.com/event-details/bba678d312590087,UFC 41: Onslaught,February 28 2003,"Atlantic City, New Jersey, USA",9,2003-02-28,0
547,http://ufcstats.com/event-details/e06fd1260ac865a7,UFC 40: Vendetta,November 22 2002,"Las Vegas, Nevada, USA",8,2002-11-22,0
548,http://ufcstats.com/event-details/0cf935519d439ba6,UFC 39: The Warriors Return,September 27 2002,"Uncasville, Connecticut, USA",8,2002-09-27,0
549,http://ufcstats.com/event-details/1dc56b59cb28425d,UFC 38: Brawl at the Hall,July 13 2002,"London, England, United Kingdom",7,2002-07-13,0
550,http://ufcstats.com/event-details/9ccdd2ce45903f34,UFC 37.5: As Real As It Gets,June 22 2002,"Las Vegas, Nevada, USA",6,2002-06-22,0
551,http://ufcstats.com/event-details/9fd1f08dd4aec14a,UFC 37: High Impact,May 10 2002,"Bossier City, Louisiana, USA",9,2002-05-10,0
552,http://ufcstats.com/event-details/02fc8f50f56eb307,UFC 36: Worlds Collide,March 22 2002,"Las Vegas, Nevada, USA",8,2002-03-22,0
553,http://ufcstats.com/event-details/946f341df6472ee0,UFC 35: Throwdown,January 11 2002,"Uncasville, Connecticut, USA",8,2002-01-11,0
554,http://ufcstats.com/event-details/4dc496aa0cfc0d95,UFC 34: High Voltage,November 02 2001,"Las Vegas, Nevada, USA",8,2001-11-02,0
555,http://ufcstats.com/event-details/c75b99887c8c3f5a,UFC 33: Victory in Vegas,September 28 2001,"Las Vegas, Nevada, USA",8,2001-09-28,0
556,http://ufcstats.com/event-details/7b9aa973e5c04624,UFC 32: Showdown in the Meadowlands,June 29 2001,"East Rutherford, New Jersey, USA",8,2001-06-29,0
557,http://ufcstats.com/event-details/20bd6c3e03c46ee6,UFC 31: Locked and Loaded,May 04 2001,"Atlantic City, New Jersey, USA",8,2001-05-04,0
