eventHyperlink,eventLink,location 
http://ufcstats.com/event-details/2eab7a6c8b0ed8cc,"UFC Fight Night: Blaydes vs. VolkovJune 20, 2020","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/1e13936d708bcff7,"UFC Fight Night: Eye vs. CalvilloJune 13, 2020","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/4c12aa7ca246e7a4,"UFC 250: Nunes vs. SpencerJune 06, 2020","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/14b9e0f2679a2205,"UFC Fight Night: Woodley vs. BurnsMay 30, 2020","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/dfb965c9824425db,"UFC Fight Night: Overeem vs. HarrisMay 16, 2020","Jacksonville, Florida, USA"
http://ufcstats.com/event-details/5f8e00c27b7e7410,"UFC Fight Night: Smith vs. TeixeiraMay 13, 2020","Jacksonville, Florida, USA"
http://ufcstats.com/event-details/898337ef520fe4d3,"UFC 249: Ferguson vs. GaethjeMay 09, 2020","Jacksonville, Florida, USA"
http://ufcstats.com/event-details/53278852bcd91e11,"UFC Fight Night: Lee vs. OliveiraMarch 14, 2020","Brasilia, Distrito Federal, Brazil"
http://ufcstats.com/event-details/0b5b6876c2a4723f,"UFC 248: Adesanya vs. RomeroMarch 07, 2020","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/fc9a9559a05f2704,"UFC Fight Night: Benavidez vs. FigueiredoFebruary 29, 2020","Norfolk, Virginia, USA"
http://ufcstats.com/event-details/33b2f68ef95252e0,"UFC Fight Night: Felder vs. HookerFebruary 22, 2020","Auckland, New Zealand"
http://ufcstats.com/event-details/5df17b3620145578,"UFC Fight Night: Anderson vs. BlachowiczFebruary 15, 2020","Rio Rancho, New Mexico, USA"
http://ufcstats.com/event-details/b26d3e3746fb4024,"UFC 247: Jones vs. ReyesFebruary 08, 2020","Houston, Texas, USA"
http://ufcstats.com/event-details/44aa652b181bcf68,"UFC Fight Night: Blaydes vs. Dos SantosJanuary 25, 2020","Raleigh, North Carolina, USA"
http://ufcstats.com/event-details/0c1773639c795466,"UFC 246: McGregor vs. CowboyJanuary 18, 2020","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/74fefd43f073cd2f,"UFC Fight Night: Edgar vs. The Korean ZombieDecember 21, 2019","Busan, South Korea"
http://ufcstats.com/event-details/4565d435005319c0,"UFC 245: Usman vs. CovingtonDecember 14, 2019","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/b09890ba7ce1d1e2,"UFC Fight Night: Overeem vs. RozenstruikDecember 07, 2019","Washington, DC, USA"
http://ufcstats.com/event-details/81ca2c245b19b3c5,"UFC Fight Night: Blachowicz vs. JacareNovember 16, 2019","Sao Paulo, Sao Paulo, Brazil"
http://ufcstats.com/event-details/8d5daf67983b65ba,"UFC Fight Night: Zabit vs. KattarNovember 09, 2019","Moscow, Moscow, Russia"
http://ufcstats.com/event-details/fd87b1bbfcde9d5e,"UFC 244: Masvidal vs. DiazNovember 02, 2019","New York City, New York, USA"
http://ufcstats.com/event-details/df05aa15b2d66f57,"UFC Fight Night: Maia vs. AskrenOctober 26, 2019","Kallang, Singapore"
http://ufcstats.com/event-details/3ae10ac4df3df05c,"UFC Fight Night: Reyes vs. WeidmanOctober 18, 2019","Boston, Massachusetts, USA"
